"","baker_first_name","baker_last_name","baker_age","baker_occupation","baker_hometown","series","episode","technical","signature_bake","show_stopper","result"
"398","Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,10,NA,NA,NA,NA
"399","Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,10,NA,NA,NA,NA
"400","Deborah","Manger",51,"Dentist","Peterborough",4,10,NA,NA,NA,NA
"401","Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,10,NA,NA,NA,NA
"402","Howard","Middleton",51,"Council Worker","Sheffield",4,10,NA,NA,NA,NA
"403","Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,10,NA,NA,NA,NA
"404","Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,10,NA,NA,NA,NA
"405","Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,10,NA,NA,NA,NA
"406","Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,10,NA,NA,NA,NA
"407","Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent",5,1,"3","Cardamom, Pistachio and Coffee Swiss Roll","Tiered Victoria Sponges with Lemon Curd and Raspberry Cream","IN"
"408","Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,1,"5","Mum's Sunday Tea Lemon Curd Swiss Roll","Chocolate Ganache Surprises","IN"
